Headline,Link,Dem,Rep,Combined,url,score,quality_quality_sources_score,quality_self_promotion_score,quality_diversity_sources_score,quality_quotes_score,quality_quotes_score,quality_source_credibility_score,quality_author_history_score,quality_opinion_score
f_21  thousand  dead  people  registered  on  pennsylvania  voter  rolls.jpg,https://www.drewberquist.com/2020/11/21000-dead-people-registered-on-pennsylvanias-voter-rolls/,3.21,4.74,3.975,,,,,,,,,,
f_21cir-pentagon-study-flu-shot.jpeg,https://www.21cir.com,2.53,3.02,2.775,,,,,,,,,,
f_Alex  Jones  stops  illegal  smuggling  of  kids.png,https://www.thegatewaypundit.com/2021/04/watch-alex-jones-physically-stops-vehicle-witnessing-migrant-children-stuffed-luggage-compartment/,3.2,3.86,3.53,,,,,,,,,,
f_aoc  9-11  not  a  big  deal.jpg,https://dailyworldupdate.us/nobig/,2.7,4.02,3.36,,,,,,,,,,
f_are  you  on  trumps  kill  list  stickers  on  mailbox.jpg,http://now8news.com/donald-trumps-kill-list-stickers-mailbox-will-determine-fate/,2.67,2.02,2.345,,,,,,,,,,
f_australia  forcefully  vaccinating  24k  kids.png,https://dailyexpose.uk/2021/08/17/australia-minister-for-health-tells-parents-24000-children-will-be-herded-into-stadium-like-cattle-to-get-covid-vaccine/,2.93,3.33,3.13,,,,,,,,,,
f_ballots  shredded  in  Maricopa  county.png,https://www.thegatewaypundit.com/2021/03/breaking-exclusive-ballots-arizonas-maricopa-county-found-shredded-dumpster-days-senate-audit-begin/,3.71,3.84,3.775,,,,,,,,,,
f_Bannon  beheading  FBI  director.png,https://dailysoundandfury.com/bannon-twitter-account-suspended-for-advocating-beheading-fbi-director-and-white-house-pandemic-advisor/,3.7,2.91,3.305,,,,,,,,,,
f_Biden  Buys  film  right  to  piss  off  Trump.png,https://www.flake.news/now/2020/12/07/biden-buys-film-rights,2.25,2.29,2.27,,,,,,,,,,
f_biden  lookalike  tried  to  get  free  meals.jpg,https://worldnewsdailyreport.com/joe-biden-lookalike-tried-to-get-free-meals-at-mcdonalds-while-impersonating-newly-elected-president/,3.2,2.8,3.0,,,,,,,,,,
f_Biden  renames  white  house.png,https://www.thewichitaword.com/post/joe-biden-signs-executive-order-to-change-white-house-to-something-less-racially-offensive,3.0,2.8,2.9,,,,,,,,,,
f_Biden  to  hire  servPro  for  white  house  restoration.png,https://thedailynooze.com/2020/09/21/biden-to-hire-servpro-for-white-house-restoration-work/,3.62,3.26,3.44,,,,,,,,,,
f_Biden  to  put  unvaccinated  in  camps.png,https://thestonkmarket.com/president-joe-biden-announces-americans-not-vaccinated-before-2022-will-be-put-in-camps/,1.94,2.31,2.125,,,,,,,,,,
f_bitchute-nasal-swab.png,https://www.bitchute.com/video/BiAm37Kt74dB/,2.86,2.1,2.48,,,,,,,,,,
f_bitchute-report-vaccine-deaths.png,https://www.bitchute.com/video/xXwrrfdthQij/,2.94,3.1,3.02,,,,,,,,,,
f_british  pilots  die  of  COVID  vaccine.png,https://greatreject.org/british-airways-pilots-died-covid-vaccine/,3.6,3.55,3.575,,,,,,,,,,
f_California  excess  voters.png,https://californiaglobe.com/articles/bombshell-california-has-1-8m-more-registered-voters-than-it-should/,2.87,3.42,3.145,,,,,,,,,,
